Date Range	Campaign	Location	Location ID	Languages	Networks	Ad Group	Keyword	Keyword Type	Segmentation	Estimated Clicks	Estimated Impressions	Estimated Cost	Estimated CTR	Estimated Average CPC	Account Currency	Conversion Rate	Conversions	Average CPA	Value Per Conversion	Conversion Value	ROAS	Bidding Strategy Type	Daily Budget
1 de setembro de 2026 - 30 de setembro de 2026 (month)	Campaign1				Google Search				Total da campanha	"4419,53"	"78684,38"	"649,80"	"5,6%"	"0,15"	BRL	"0,68%"	30	"22,00"				Maximize Conversions	"21,66"
	Campaign1								Desktop	"448,67"	"7339,49"	"91,30"	"6,1%"	"0,20"	BRL								
	Campaign1								Smartphone	"3921,02"	"71077,15"	"551,58"	"5,5%"	"0,14"	BRL								
	Campaign1								Tablet	"49,84"	"267,74"	"6,92"	"18,6%"	"0,14"	BRL								
	Campaign1	Brasil	2076						Brasil	"4419,53"	"78684,38"	"649,80"	"5,6%"	"0,15"	BRL								
	Campaign1								Brasil - Desktop	"448,67"	"7339,49"	"91,30"	"6,1%"	"0,20"	BRL								
	Campaign1								Brasil - Smartphone	"3921,02"	"71077,15"	"551,58"	"5,5%"	"0,14"	BRL								
	Campaign1								Brasil - Tablet	"49,84"	"267,74"	"6,92"	"18,6%"	"0,14"	BRL								
