Campaign,Sitelink text,Sitelink description line 1,Sitelink description line 2,Final URL
[007-SEARCH]-NEOPRENE,Sapatilha de Neoprene,Solado antiderrapante,Numeração do 34 ao 44,https://usezerohora.com.br/produtos/sapatilha-esportiva-neoprene-xlgci/
[007-SEARCH]-NEOPRENE,Camiseta de Neoprene,"Neoprene 1,5mm e mangas UV50",Conforto térmico no mar,https://usezerohora.com.br/produtos/camiseta-neoprene-cabo-frio-17xyv/
[007-SEARCH]-NEOPRENE,Bermuda de Neoprene,Cordão interno no cós,Feita para o surf,https://usezerohora.com.br/produtos/bermuda-neoprene-joaquina-7x5hp/
[007-SEARCH]-NEOPRENE,Site Use Zero Hora,Marca brasileira de surf,Compre direto da marca,https://usezerohora.com.br/
