Keyword,Ad group,Volume,CPC (USD),Intent,Match sugerido,Fonte,Observacao
natação materiais,fora-da-campanha (observacao),170,0.00,"Informational, Commercial",Phrase,kw-manager,aderencia baixa ao produto
roupa de natação infantil masculino,fora-da-campanha (observacao),170,0.00,Informational,Phrase,kw-manager,negativa confirmada: linha adulta
acessórios natação,fora-da-campanha (observacao),140,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
artigos de natação,fora-da-campanha (observacao),140,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
artigos para natação,fora-da-campanha (observacao),140,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
calcao natacao,fora-da-campanha (observacao),140,0.00,Commercial,Phrase,kw-manager,peca de natacao que nao vendemos
equipamentos para natacao,fora-da-campanha (observacao),140,0.00,"Informational, Commercial",Phrase,kw-manager,acessorios/equipamentos: fora do escopo
long surf,fora-da-campanha (observacao),140,0.00,"Informational, Commercial",Phrase,kw-manager,aderencia baixa ao produto
macacao para natacao,fora-da-campanha (observacao),140,0.00,Informational,Phrase,kw-manager,produto nao vendido (roupa fechada)
macacão de natação masculino,fora-da-campanha (observacao),140,0.00,Informational,Phrase,kw-manager,produto nao vendido (roupa fechada)
macacão neoprene,fora-da-campanha (observacao),140,0.00,Informational,Phrase,kw-manager,produto nao vendido (roupa fechada)
marcas de roupa de surf,fora-da-campanha (observacao),140,0.00,Commercial,Phrase,kw-manager,pesquisa de marca/moda generica
marcas de surfista,fora-da-campanha (observacao),140,0.00,Commercial,Phrase,kw-manager,pesquisa de marca/moda generica
roupa de nadar,fora-da-campanha (observacao),140,0.00,Informational,Phrase,kw-manager,aderencia baixa ao produto
roupa mergulho neoprene,fora-da-campanha (observacao),140,0.00,Commercial,Phrase,kw-manager,intencao mergulho: produto nao atende
surf suit,fora-da-campanha (observacao),140,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
traje para natação,fora-da-campanha (observacao),140,0.00,Informational,Phrase,kw-manager,peca de natacao que nao vendemos
acessórios para natação,fora-da-campanha (observacao),110,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
calção de natação masculino,fora-da-campanha (observacao),110,0.00,Commercial,Phrase,kw-manager,peca de natacao que nao vendemos
calção para natação,fora-da-campanha (observacao),110,0.00,"Informational, Transactional",Phrase,kw-manager,peca de natacao que nao vendemos
loja roupa de surf,fora-da-campanha (observacao),110,0.00,Commercial,Phrase,kw-manager,intencao de loja fisica/generica
macacao surf feminino,fora-da-campanha (observacao),110,0.00,"Informational, Commercial",Phrase,kw-manager,produto nao vendido (roupa fechada)
macacão de surf feminino,fora-da-campanha (observacao),110,0.00,"Informational, Commercial",Phrase,kw-manager,produto nao vendido (roupa fechada)
roupa de borracha feminina,fora-da-campanha (observacao),110,0.00,Commercial,Phrase,kw-manager,aderencia baixa ao produto
roupa de natação feminina infantil,fora-da-campanha (observacao),110,0.00,"Informational, Commercial",Phrase,kw-manager,negativa confirmada: linha adulta
roupa para mergulho neoprene,fora-da-campanha (observacao),110,0.00,"Informational, Commercial",Phrase,kw-manager,intencao mergulho: produto nao atende
roupa para nadar,fora-da-campanha (observacao),110,0.00,Informational,Phrase,kw-manager,aderencia baixa ao produto
roupas de mergulho 5mm,fora-da-campanha (observacao),110,0.00,"Informational, Commercial",Phrase,kw-manager,intencao mergulho: produto nao atende
surf long john,fora-da-campanha (observacao),110,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
surf neoprene suit,fora-da-campanha (observacao),110,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
acessorios natacao,fora-da-campanha (observacao),90,0.00,Commercial,Exact,kw-manager,acessorios/equipamentos: fora do escopo
calça de natação,fora-da-campanha (observacao),90,0.00,"Informational, Commercial",Exact,kw-manager,peca de natacao que nao vendemos
calça para natação,fora-da-campanha (observacao),90,0.00,Commercial,Exact,kw-manager,peca de natacao que nao vendemos
loja de roupa de natação,fora-da-campanha (observacao),90,0.00,Commercial,Exact,kw-manager,intencao de loja fisica/generica
macacao neoprene feminino,fora-da-campanha (observacao),90,0.00,Informational,Exact,kw-manager,produto nao vendido (roupa fechada)
macacão neoprene feminino,fora-da-campanha (observacao),90,0.00,"Informational, Commercial",Exact,kw-manager,produto nao vendido (roupa fechada)
material para natacao,fora-da-campanha (observacao),90,0.00,"Informational, Commercial",Exact,kw-manager,acessorios/equipamentos: fora do escopo
melhores maios para natação,fora-da-campanha (observacao),90,0.00,Commercial,Exact,kw-manager,peca de natacao que nao vendemos
moda surf masculina,fora-da-campanha (observacao),90,0.00,Commercial,Exact,kw-manager,pesquisa de marca/moda generica
natação masculina,fora-da-campanha (observacao),90,0.00,Informational,Exact,kw-manager,aderencia baixa ao produto
roupa de surf john,fora-da-campanha (observacao),90,0.00,Commercial,Exact,kw-manager,produto nao vendido (roupa fechada)
roupa de natação masculina profissional,fora-da-campanha (observacao),20,0.05,,Exact,kw-manager,aderencia baixa ao produto
roupa para aula de natação masculino,fora-da-campanha (observacao),20,0.07,,Exact,kw-manager,aderencia baixa ao produto
