Keyword,Ad group,Volume,CPC (USD),Intent,Match sugerido,Fonte,Observacao
sapatilha para areia quente,sapatilha-areia-compra,20,0.03,,Exact,kw-manager,
sapatilha para futevolei,sapatilha-areia-compra,10,0.04,,Exact,kw-manager,
camiseta natação,neoprene-camiseta-compra,320,0.00,"Informational, Commercial",Phrase,kw-manager,
camiseta neoprene,neoprene-camiseta-compra,210,0.00,Informational,Phrase,kw-manager,
blusa neoprene,neoprene-camiseta-compra,170,0.00,"Informational, Commercial",Phrase,kw-manager,
blusa neoprene feminina,neoprene-camiseta-compra,140,0.00,Informational,Phrase,kw-manager,
blusa para natação,neoprene-camiseta-compra,140,0.00,Informational,Phrase,kw-manager,
camisa neoprene surf,neoprene-camiseta-compra,140,0.11,Commercial,Phrase,kw-manager,
camisa termica natação,neoprene-camiseta-compra,140,0.00,Informational,Phrase,kw-manager,
camisa termica praia,neoprene-camiseta-compra,140,0.00,Informational,Phrase,kw-manager,
camisa neoprene para natação,neoprene-camiseta-compra,110,0.00,"Informational, Commercial",Phrase,kw-manager,
jaqueta de neoprene,neoprene-camiseta-compra,110,0.19,Commercial,Phrase,sessao,
blusa de neoprene,neoprene-camiseta-compra,90,0.09,Commercial,Exact,kw-manager,
camisa de neoprene,neoprene-camiseta-compra,90,0.07,"Informational, Commercial",Exact,kw-manager,
camisa natação masculina,neoprene-camiseta-compra,90,0.00,Informational,Exact,kw-manager,
camisa termica para praia,neoprene-camiseta-compra,90,0.00,Commercial,Exact,kw-manager,
camiseta neoprene surf,neoprene-camiseta-compra,90,0.09,"Informational, Commercial",Exact,kw-manager,
camiseta de neoprene,neoprene-camiseta-compra,70,0.06,,Exact,kw-manager,
camiseta neoprene feminina,neoprene-camiseta-compra,70,0.07,,Exact,kw-manager,
camiseta neoprene masculina,neoprene-camiseta-compra,70,0.09,,Exact,kw-manager,
blusa de neoprene feminina,neoprene-camiseta-compra,40,0.08,,Exact,kw-manager,
blusa neoprene surf,neoprene-camiseta-compra,20,0.07,,Exact,kw-manager,
camisa neoprene manga curta,neoprene-camiseta-compra,20,0.00,,Exact,kw-manager,
camisa neoprene manga longa,neoprene-camiseta-compra,20,0.09,,Exact,kw-manager,
camisa termica para agua,neoprene-camiseta-compra,20,0.04,,Exact,kw-manager,
camisa termica para surf,neoprene-camiseta-compra,20,0.00,,Exact,kw-manager,
camiseta neoprene manga curta,neoprene-camiseta-compra,20,0.06,,Exact,kw-manager,
segunda pele neoprene,neoprene-camiseta-compra,20,0.05,,Exact,kw-manager,
top de neoprene,neoprene-camiseta-compra,20,0.00,,Exact,kw-manager,
top neoprene,neoprene-camiseta-compra,20,0.12,,Exact,kw-manager,
camiseta termica surf,neoprene-camiseta-compra,10,0.07,,Exact,kw-manager,
camiseta neoprene 1.5mm,neoprene-camiseta-compra,0,0.00,,Exact,kw-manager,
camiseta termica para surf,neoprene-camiseta-compra,0,0.00,,Exact,kw-manager,
segunda pele para surf,neoprene-camiseta-compra,0,0.00,,Exact,kw-manager,
blusa de neoprene masculina,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
blusa neoprene masculina,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
blusa para agua fria,neoprene-camiseta-compra,n/c,n/c,,Exact,kw-manager,
