Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Edit,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-LYCRA-GENERICO,,,,,,,,,,,,,,
Ad group,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-A]-LYCRA-MASCULINA,Standard,,,,,,,,,,,,,
Ad group,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,Standard,,,,,,,,,,,,,
