Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Edit,,24120633838,[002-SEARCH]-INSTITUCIONAL,201520465560,[002-A]-INSTITUCIONAL-MARCA,,,,,,,,,,,,,,
Ad group,Edit,,24110155431,[003-SHOPPING]-PONCHO,207493793508,[003-A]-PONCHO-COMPRA,,,,,,,,,,,,,,
Ad group,Edit,,24120681592,[004-SHOPPING]-MAIO,199784258140,[004-A]-LANCAMENTOS-COMPRA,,,,,,,,,,,,,,
Ad group,Edit,,24120681592,[004-SHOPPING]-MAIO,200672357444,[004-B]-AON-COMPRA,,,,,,,,,,,,,,
Ad group,Edit,,24110345733,[005-SHOPPING]-LYCRA,198568929066,[005-A]-LYCRA-COMPRA,,,,,,,,,,,,,,
Ad group,Edit,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-A]-LYCRA-GENERICO,,,,,,,,,,,,,,
