Row Type,Action,Campaign status,Campaign ID,Campaign,Campaign type,Networks,Budget,Delivery method,Budget type,Bid strategy type,Bid strategy,Campaign start date,Campaign end date,Language,Location,Exclusion,Devices,Label,Target CPA,Target ROAS,Display URL option,Website description,Target Impression Share,Max CPC Bid Limit for Target IS,Location Goal for Target IS,Tracking template,Final URL suffix,Custom parameter,Inventory type,Campaign subtype,Video ad formats,EU political ads
Campaign,Edit,,24120633838,[002-SEARCH]-INSTITUCIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Edit,,24110155431,[003-SHOPPING]-PONCHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Edit,,24120681592,[004-SHOPPING]-MAIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Edit,,24110345733,[005-SHOPPING]-LYCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Edit,,24110422707,[006-SEARCH]-LYCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
